type,uv,vis,ir
p,0.5,0.666666666666667,0.666666666666667
d,0.333333333333333,0.666666666666667,0.833333333333333
c,0.333333333333333,0.5,0.5
t,0.333333333333333,0.666666666666667,0.666666666666667
s,0.166666666666667,0.833333333333333,0.5
q,0.166666666666667,0.833333333333333,0.166666666666667
v,0,1,0
r,0,0.833333333333333,0.333333333333333
m,0.333333333333333,0.666666666666667,0.666666666666667
a,0.166666666666667,1,0.833333333333333
e,0.333333333333333,0.5,0.666666666666667
x,0.166666666666667,0.666666666666667,0.666666666666667
o,0.333333333333333,0.5,0.166666666666667
